,root,abbr,reflex,meaning,notes,A's comments,E translated,F translated
5,"2. er(e)k-, rek-, rok-",lett.,er̃cis,"to tear, cut, split",über lett. er̃cis 'Wacholder' usw. s. oben S. 67 f.,F = s. oben S. 67 f. (Pokorny is referring reader to another entry for the source),"to tear, cut, split","about Latvian er̃cis 'juniper', etc. see above p. 67 ff."
6,"2. er(e)k-, rek-, rok-",lit.,rankù,aufstochern,mit anderer Ablautstufe,,to poke/stir up,with a different ablaut grade
7,"2. er(e)k-, rek-, rok-",lit.,ràkti,aufstochern,mit anderer Ablautstufe,,to poke/stir up,with a different ablaut grade
8,"2. er(e)k-, rek-, rok-",lit.,rakštìs,"Splitter, Dorn",mit anderer Ablautstufe,,"Splinter, thorn",with a different ablaut grade
0,1. eres-,ai.,r̥ṣáti,"stößt, sticht",,,"pushes, stings",
1,1. eres-,ai.,r̥ṣṭíṣ,Speer,,,Spear,
2,1. eres-,av.,aršti,Speer,,,Spear,
3,1. eres-,lit.,erśkė̃tis,Dornpflanze,vgl. oben S. 67,,Thorn plant,cf. above p. 67
4,1. eres-,sloven.,rệsək,Gänsedistel,,,Common Sowthistle,
0,2. ereu-,ai.,áruṣ-,Wunde,n.,,Wound,n. [UNKNOWN]
1,2. ereu-,anord.,ørr,Narbe,"*arwaz, *arwiz",,Scar,"*arwaz, *arwiz [UNKNOWN]"
2,2. ereu-,anord.,err,Narbe,"*arwaz, *arwiz",,Scar,"*arwaz, *arwiz [UNKNOWN]"
3,2. ereu-,finn.,arpi,Narbe,"Gen. arven, als Lw. von anord. ørr, err",,Scar,"Gen. arven, as a loanword from Old Norse ørr, err"
4,2. ereu-,mnd.,are,Narbe,,,Scar,
5,2. ereu-,nhd.,arbe,Narbe,dialektisch,,Scar,dialectical
0,erku̯-,ai.,árcati,"strahlt; lobsingt, begrüßt, ehrt",,,"shines; praises, greets, honors",
1,erku̯-,ai.,arká-,"Strahl, Blitzstrahl, Sonne, Feuer; Lied, Sänger",(= arm. erg),,"Beam, lightning bolt, sun, fire; song, singer",(= arm. erg)
2,erku̯-,ai.,r̥c-,"Glanz; Gedicht, Vers",Nom. Sg. r̥k f.,,"Shine; Poem, Verse",Nom. sg. r̥k f. [UNKNOWN]
,,,,,,,,
4,erku̯-,ai.,r̥kvan-,"lobpreisend, jubelnd",,,"praising, jubilant",
5,erku̯-,arm.,erg,Lied,,,Song,
6,erku̯-,air.,erc,Himmel,,,Heaven,
7,erku̯-,mir.,suairc,"angenehm, schön, strahlend",(*su-erkʷis),,"pleasant, beautiful, radiant",(*su-erkʷis) [UNKNOWN]
8,erku̯-,toch. A,yärk,Verehrung,"(Pedersen REtIE. 3, 18)",,Adoration,"(Pedersen REtIE. 3, 18) [UNKNOWN]"
9,erku̯-,toch. В,yarke,Verehrung,"(Pedersen REtIE. 3, 18)",,Adoration,"(Pedersen REtIE. 3, 18) [UNKNOWN]"
10,erku̯-,hitt.,ar-ku-u̯a-nu-un,ich betete,(arku̯anun); anders Hendriksen 45 und 74.,,I prayed,(arku̯anun); anders Hendriksen 45 and 74.
0,et(e)n-,gr.,ἔτνος,Brei von Hülsenfrüchten,,,Puree of legumes,
1,et(e)n-,mir.,eitne,Кеrn,"das unlenierte stimmlose -t- zwischen Vokalen ist jedoch rätselhaft, da es nur auf -tt- zurückgehen kann",,Core,"However, the unaccented voiceless -t- between vowels is puzzling, as it can only derive from -tt-."
2,et(e)n-,schott.-gäl.,eite,unhusked ear of corn,,,ungeschälte Maiskolben,
3,et(e)n-,schott.-gäl.,eitean,"Kern, Korn",,,"Core, grain",
0,3. eu-,ai.,api-vátati,"versteht, begreift",,,"understands, comprehends",
1,3. eu-,ai.,api-vātáyati,"regt geistig an, macht verstehen",Kausativum,,"stimulates mentally, makes one understand",Causative
2,3. eu-,av.,aipi-vataiti,ist mit einer Sache vertraut,,,is familiar with something,
3,3. eu-,av.,aipiča aotāt̃,sie begreife,"Konjunktiv, *eut-",,she understands,"Konjunktiv, *eut- [UNKNOWN]"
4,3. eu-,lit.,jaučiù,fühlen,*euti̯ō,"general note for Baltic forms: "" Über den j-Vorschlag s. Endzelin Lett. Gr. p. 30c, anders (als Reduplikation?) Specht KZ. 68, 551.""",feel,*euti̯ō [UNKNOWN]
5,3. eu-,lit.,"jaučiaũ, jaũsti",fühlen,,,feel,
6,3. eu-,lett.,"jaušu, jautu, jaust",fühlen,,,feel,
7,3. eu-,lit.,jaũsmas,Gefühl,maskulinum,,Feeling,masculine
8,3. eu-,lit.,jautrùs,"gefühlvoll, zart",,,"sentimental, delicate",
9,3. eu-,lit.,jáutotis,forschend fragen,Iterat.,,inquisitive questioning,Iterat. [UNKNOWN]
10,3. eu-,lit.,"juntù, jutãu, jùsti",fühlen,im Ablaut (idg. u),,feel,in ablaut (Indo-Germanic u)
11,3. eu-,lett.,"jùtu, jutu, just",fühlen,"Über den j-Vorschlag s. Endzelin Lett. Gr. p. 30c, anders (als Reduplikation?) Specht KZ. 68, 55^^1^^",,feel,"See Endzelin Lett. Gr. p. 30c for the j-proposal, differently (as reduplication?) Specht KZ. 68, 55 [UNKNOWN]"
,,,,,,,,
,,,,,,,,
0,4. eu-,gr.,εὐάζω,juble',,,jubilate,
1,4. eu-,gr.,εὖα,Ausrufe bacchantischer Lust,,,Exclamations of bacchanalian pleasure,
2,4. eu-,gr.,εὐαί,Ausrufe bacchantischer Lust,,,Exclamations of bacchanalian pleasure,
3,4. eu-,gr.,εὐοῖ,Ausrufe bacchantischer Lust,,,Exclamations of bacchanalian pleasure,
4,4. eu-,lat.,"ovō, -āre","frohlocken, jubeln; einen siegreichen Einzug halten'",(*eu̯āi̯ō),,"rejoicing, jubilating; to make a triumphant entry",(*eu̯āi̯ō [UNKNOWN])
,,,,,,,,
6,4. eu-,idg.,u-,in Schallworten,,referring to other onomatopoeia with u- in forms,in sound words,
0,g̑ā̆b-,aisl.,kōpa,"starren, gaffen",(pþ),"General note:  ""Alles ganz unsicher. Der Ansatz einer Wurzel, die mit unaspirierter Media an- und auslautet, hat von vornherein wenig Wahrscheinlichkeit für sich (vgl. Meillet Introduction7 173 f.).""","staring, gawking",(pþ) [UNKNOWN]
1,g̑ā̆b-,ags.,cǣpan,"beobachten, ausschauen nach, sorgen für, schützen",,,"observe, look out for, provide for, protect",
2,g̑ā̆b-,ags.,capian up,aufblicken,ablautend,,to look up,showing ablaut
3,g̑ā̆b-,asächs.,upcapen,eminere,,,to stand out,
4,g̑ā̆b-,mnd.,kapen,"gaffen, schauen",,,"gawking, looking",
5,g̑ā̆b-,mhd.,kaffen,"gaffen, schauen",,,"gawking, looking",
6,g̑ā̆b-,ahd.,kapfēn,"schauen, spähen",mit Intensivgemination,,"look, spy",with intensive gemination
7,g̑ā̆b-,ahd.,kapf,"Ort, von dem manausschaut, Gipfel",daraus rückgebildet,,"Location from which one looks, summit.",derived from it
8,g̑ā̆b-,ahd.,ūfkepfen,aufschauen,,,to look up/ to raise one's eyes,
9,g̑ā̆b-,russ.,zabota,Sorge,,,Worry/Concern,
10,g̑ā̆b-,russ.,zabotitь śa,"sich sorgen machen, sich bekümmern",,,"to worry, to be concerned",
0,gan(dh)-,mir.,gann,Gefäß,"*gandhn- oder *gandh-; sehr unsicher belegt: Stokes BB. 19, 83",,Vessel,"*gandhn- or *gandh-; very uncertainly attested: Stokes BB. 19, 83"
1,gan(dh)-,aisl.,kani,"Henkelgefäß, Schüssel (poet.)",,,"Jug, bowl (poet.)",
2,gan(dh)-,norw. dial.,kane,Henkelschale,,,Handle bowl,
3,gan(dh)-,schwed. dial.,kana,Schlitten,,,Sledge,
4,gan(dh)-,dän.,kane,"Schlitten, älter dän. auch 'Boot'",,,"Sled, old Danish also 'boat'",
5,gan(dh)-,mnd.,kane,Boot,woraus aschwed. kani 'Boot',,Boat,woraus aschwed. kani 'Boot'
6,gan(dh)-,ndl.,kaan,"kleines Boot, Kahn","aus dem Ndd. stammt auch nhd. Kahn, s. Kluge EWb. s. v., v. Bahder, Wortwahl 30",,"small boat, barge","The term ""Kahn"" in modern High German also originates from Low German, see Kluge EWb. s. v., v. Bahder, Wortwahl 30."
7,gan(dh)-,aisl.,kǣna,Art Boot,,,Type of boat,
8,gan(dh)-,anord.,kanna,Kanne,dazu weiter(< *gandhnā),,Pitcher,dazu weiter(< *gandhnā) [UNKNOWN]
9,gan(dh)-,aschw.,kanna,Kanne,dazu weiter(< *gandhnā),,Pitcher,dazu weiter(< *gandhnā) [UNKNOWN]
10,gan(dh)-,dän.,kande,Kanne,dazu weiter(< *gandhnā),,Pitcher,dazu weiter(< *gandhnā) [UNKNOWN]
11,gan(dh)-,ags.,canne,Kanne,dazu weiter(< *gandhnā),,Pitcher,dazu weiter(< *gandhnā) [UNKNOWN]
12,gan(dh)-,ahd.,channa,Kanne,"dazu weiter(< *gandhnā), woraus spätlat. canna entlehnt ist",,Pitcher,"moreover, from which late Latin canna is borrowed."
13,gan(dh)-,spätlat.,canna,Kanne,entlehnt aus ahd. channa,,Pitcher,borrowed from Old High German channa
14,gan(dh)-,fränk.,kanna,Kanne,"Meyer-Lübke 1596, Gamillscheg EWb. d. Franz. 169",,Pitcher,"Meyer-Lübke 1596, Gamillscheg EWb. d. Franz. 169 [UNKNOWN]"
15,gan(dh)-,prov.,cana,Hohlmaß,entlehnt aus fränk. kanna,,Hollow measure,borrowed from Frankish kanna
16,gan(dh)-,afr.,channe,Kanne,entlehnt aus fränk. kanna,,Pitcher,borrowed from Frankish kanna
17,gan(dh)-,ahd.,chanta,Kanne,< *gandhā,,Pitcher,< *gandhā
18,gan(dh)-,ahd.,canneta,Kanne,< *gandhā,,Pitcher,< *gandhā
19,gan(dh)-,fränk.,cannada,Kanne,< *gandhā,,Pitcher,< *gandhā
0,garəg̑-,arm.,karcr,hart,,,hard,
1,garəg̑-,arm.,karcem,"ich fürchte, glaube",,,"I fear, believe",
2,garəg̑-,gr.,γοργός,"Furcht erregend, grausig, wild",,,"Terrifying, gruesome, wild",
3,garəg̑-,gr.,Γοργώ,Schreckgespenst,,,Bogeyman,
4,garəg̑-,gr.,γοργου̃σθαι,"wild werden (von Pferden, d. i. sich erschrecken)",,,"to get scared (by horses, i.e. to startle)",
5,garəg̑-,gr.,"γοργώψ, γοργωπός",schrecklich blickend,die gr. Worte aus *γαργό- assimiliert??,,looking terrible,the Greek words assimilated from *γαργό-?
6,garəg̑-,air.,garg,"rauh, wild",,,"rough, wild",
7,garəg̑-,air.,gargg,"rauh, wild",,,"rough, wild",
8,garəg̑-,mir.,grāin,"Häßlichkeit, Ekel, Scheu",*gragnis,,"Ugliness, disgust, aversion",*gragnis [UNKNOWN]
9,garəg̑-,mir.,grānda,häßlich,*gragnodi̯os,,ugly,*gragnodi̯os [UNKNOWN]
10,garəg̑-,cymr.,graen,"Trauer, Kummer; abscheulich",,,"Grief, sorrow; loathsome.",
11,garəg̑-,lit.,gražóju,bedrohen,,,threaten,
12,garəg̑-,lit.,gražóti,bedrohen,,,threaten,
13,garəg̑-,lett.,gražuôt,"grollen, eigensinnig sein",,,"to grumble, to be stubborn",
14,garəg̑-,lett.,gręzuôt,drohen,zum lett. e aus a hinter r s. Endzelin Lett. Gr. 36 f.,,to threaten,to the Latvian e from a behind r s. Endzelin Latvian Grammar 36 f.
15,garəg̑-,aksl.,groza,"Graus, Schauder",,,"Horror, shiver",
16,garəg̑-,skr.,gròzá,"grim, grievous, dreadful",,,"grim, grievous, dreadful",
17,garəg̑-,poln.,groza,das selbe,,,the same,
18,garəg̑-,russ.,grozá,"Drohung, Strenge, Unwetter",,,"Threat, severity, bad weather",
19,garəg̑-,ksl.,groziti,drohen,,,to threaten,
20,garəg̑-,sloven.,groziti,drohen,,,to threaten,
21,garəg̑-,poln.,grozić,drohen,,,to threaten,
22,garəg̑-,russ.,grozitь,drohen,,,to threaten,
23,garəg̑-,russ.,gróznyj,"schrecklich, grausam",,,"terrible, cruel",
0,g̑ebh-,aisl.,kafi,abgeschnittenes Stück,m.,,cut piece,m.
1,g̑ebh-,aisl.,kefli,"Kabel, Holzstück, Knebel",n.,,"Cable, piece of wood, toggle",n. [UNKNOWN]
2,g̑ebh-,aisl.,rūna-kefli,Runenstab,,,Rune staff,
3,g̑ebh-,mnd.,kavele,Stück Holz (zum Losen),f.,,Piece of wood (for loosening),f. [UNKNOWN]
4,g̑ebh-,afries.,kavelia,verlosen,,,raffle,
5,g̑ebh-,ndl.,kavel,"Anteil, Los",m.,,"Share, lottery",m.
6,g̑ebh-,nhd.,Kabel,"Anteil, Los","dial., f. und m.",,"Share, lottery","dial., feminine and masculine"
7,g̑ebh-,lit.,žãbas,"Ast, Reisig, Zaum",m.,,"Branch, brushwood, bridle",m.
8,g̑ebh-,lit.,žabà,Rute,f.,,Rod,f. [UNKNOWN]
9,g̑ebh-,lit.,žãbaras,dürrer Ast,,,dry branch,
10,g̑ebh-,lit.,žabóju,aufzäumen,,,to bridle,
11,g̑ebh-,lit.,žabóti,aufzäumen,,,to bridle,
12,g̑ebh-,lit.,žaboklas,Zügel,m.,,Reins,m.
13,g̑ebh-,lit.,į́-žaboklis,Knebel,,,Gag,
14,g̑ebh-,lit.,žúobris,Pflugschar,"ablaut., (Kurschat žuobrỹs)",,Plowshare,"ablaut., (Kurschat žuobrỹs) [UNKNOWN]"
15,g̑ebh-,lett.,žabuôt,dem Tier einen Knebel ins Maul stecken,,,to gag the animal's mouth,
0,"g̑egh-, g̑ogh-",norw. dial.,kage,niedriger Busch,germ. *kagan-,,low bush,germ. *kagan-
1,"g̑egh-, g̑ogh-",schwed. dial.,kage,Baumstumpf (daraus engl. \cag 'Stumpf'),,,"Tree stump (English: ""stump"")",
2,"g̑egh-, g̑ogh-",nhd. dial.,kag,"Kohlstengel, Stumpf",,,"Cabbage stalk, stump",
3,"g̑egh-, g̑ogh-",ndl.,kag,Keil,germ. *kaʒiō; f.,,Wedge,germ. *kaʒiō; feminine.
4,"g̑egh-, g̑ogh-",ndl.,kegge,Keil,germ. *kaʒiō; f.,,Wedge,germ. *kaʒiō; feminine.
5,"g̑egh-, g̑ogh-",ahd.,kegil,"Pfahl, Pflock, Nagel",germ. *kaʒila-,,"Stake, post, nail",germ. *kaʒila- [UNKNOWN]
6,"g̑egh-, g̑ogh-",aisl.,kaggi,"Fäßchen, Tönnchen",,general note: dazu mit expressiver Konsonantendehnung (g : gg : kk),"Little barrel, little keg",
7,"g̑egh-, g̑ogh-",mnd.,kāk,"Schandpfahl, Pranger",,general note: dazu mit expressiver Konsonantendehnung (g : gg : kk),"Pillory, stocks",
8,"g̑egh-, g̑ogh-",ahd.,slito-chōho,Kufe,,general note: dazu mit expressiver Konsonantendehnung (g : gg : kk),Blade/Runner,
9,"g̑egh-, g̑ogh-",nhd.,kueche,Schlittenkufe,(oberdeutsch),general note: dazu mit expressiver Konsonantendehnung (g : gg : kk),Sled runner,(Upper German)
10,"g̑egh-, g̑ogh-",nhd.,Kufe,Schlittenkufe,dissim.,,Sled runner,dissim. [UNKNOWN]
11,"g̑egh-, g̑ogh-",lit.,žãgaras,"dürrer Zweig, Pl. 'Reisig, Gebüsch'",,,"dry twig, Pl. 'brushwood, shrub'",
12,"g̑egh-, g̑ogh-",lit.,žãgrė,Pflug,,,Plow,
13,"g̑egh-, g̑ogh-",lit.,žiõgris,Zaun,,,Fence,
14,"g̑egh-, g̑ogh-",lett.,žagari,Reisig,,,Twig,
15,"g̑egh-, g̑ogh-",lett.,žagas,loses Laub,Pl. f.,,falling leaves,Plural feminine.
16,"g̑egh-, g̑ogh-",ags.,cǣg(e),"Schlüssel, Lösung",f.,,"Key, Solution",f. [UNKNOWN]
17,"g̑egh-, g̑ogh-",afries.,kei,"Schlüssel, Lösung",*kaiga-,unklar is die Herkunft = ?,"Key, Solution","*kaiga-"" [UNKNOWN]"
18,"g̑egh-, g̑ogh-",afries.,kai,"Schlüssel, Lösung",*kaiga-,unklar is die Herkunft = ?,"Key, Solution","*kaiga-"" [UNKNOWN]"
19,"g̑egh-, g̑ogh-",mnd.,keie,"Schlüssel, Lösung",,unklar is die Herkunft = ?,"Key, Solution",
20,"g̑egh-, g̑ogh-",arm.,cag,"Erhöhung, Gipfel, Ende","Petersson Heter. 89 f., zweifelhaft die von",zweifelhaft = ??,"Increase, summit, end","Petersson Heter. 89 f., doubtful the one from"
0,gē(i)- : gō(i)- : gī-,ai.,gāyati,singt,,,sings,
1,gē(i)- : gō(i)- : gī-,ai.,gāti,singt,,,sings,
2,gē(i)- : gō(i)- : gī-,ai.,gātú-,Gesang,m.,,Singing,m.
3,gē(i)- : gō(i)- : gī-,ai.,gītí-,Gesang,f.,,Singing,f. [UNKNOWN]
4,gē(i)- : gō(i)- : gī-,ai.,gītá-,gesungen,,,sung,
5,gē(i)- : gō(i)- : gī-,ai.,gā́thā,"Gesang, Vers",,,"Singing, verse",
6,gē(i)- : gō(i)- : gī-,av.,gāϑa,Lied religiösen Inbalts,,,Song of religious content,
7,gē(i)- : gō(i)- : gī-,aruss.,gaju,krähen,,,caw,
8,gē(i)- : gō(i)- : gī-,aruss.,gajati,krähen,,,caw,
9,gē(i)- : gō(i)- : gī-,russ.,gajь,"Dohlengekrächze, Geschrei",m.,,"Jackdaws croaking, shouting",m.
10,gē(i)- : gō(i)- : gī-,russ.,gákatь,"ächzen, krächzen",,,"groan, caw",
,,,,,,,,
12,gē(i)- : gō(i)- : gī-,lit.,gíedu,"singen, krähen",baltisch \*gēidō,,"sing, crow",baltic *gēidō
13,gē(i)- : gō(i)- : gī-,lit.,gíestu,"singen, krähen",baltisch \*gēidō,,"sing, crow",baltic *gēidō
14,gē(i)- : gō(i)- : gī-,lit.,giedóti,"singen, krähen",baltisch \*gēidō,,"sing, crow",baltic *gēidō
15,gē(i)- : gō(i)- : gī-,lett.,dziêdu,singen,baltisch \*gēidō,,sing,baltic *gēidō
16,gē(i)- : gō(i)- : gī-,lett.,dziêdât,singen,baltisch \*gēidō,,sing,baltic *gēidō
17,gē(i)- : gō(i)- : gī-,lit.,gýstu,"zu singen, zu krähen anfangen",,,"to begin to sing, to crow",
18,gē(i)- : gō(i)- : gī-,lit.,gýdau,"zu singen, zu krähen anfangen",,,"to begin to sing, to crow",
19,gē(i)- : gō(i)- : gī-,lit.,gýsti,"zu singen, zu krähen anfangen",,,"to begin to sing, to crow",
20,gē(i)- : gō(i)- : gī-,lit.,gaidỹs,Hahn,m.,,Rooster,m.
21,gē(i)- : gō(i)- : gī-,lit.,giesmė̃,Kirchenlied,f.,,Church song,f. [UNKNOWN]
22,gē(i)- : gō(i)- : gī-,lett.,dziêsma,Lied,f.,,Song,f. [UNKNOWN]
23,gē(i)- : gō(i)- : gī-,lett.,gaîlis,Hahn,m.,,Rooster,m.
24,gē(i)- : gō(i)- : gī-,toch. A,kāk,er rief,"redupl., zu ai. gāti",,he called,"redupl., to Sanskrit gāti [UNKNOWN]"
25,gē(i)- : gō(i)- : gī-,toch. B,kāka,er rief,"redupl., zu ai. gāti",,he called,"redupl., to Sanskrit gāti [UNKNOWN]"
26,gē(i)- : gō(i)- : gī-,toch. A,keneńc,"to cry, sing","Präs. 3. Pl. (*gēi-n-?), Pedersen Tochar. 183, 263",,"to weep, sing","Präs. 3rd pers. plural (*gēi-n-?), Pedersen Tochar. 183, 263 [UNKNOWN]"
0,g̑eid-,gr. hom.,νεογιλλός,seit kurzem saugend (von Tierjungen),,,nursing (from animal offspring) recently,
1,g̑eid-,gr. hom.,Γίλλος,PN,(von einem *γιλλός aus *γιδλός),,Private message,(from a *γιλλός out of *γιδλός) [UNKNOWN]
2,g̑eid-,gr. hom.,Γιλλίς,PN,(von einem *γιλλός aus *γιδλός),,Private message,(from a *γιλλός out of *γιδλός) [UNKNOWN]
3,g̑eid-,gr. hom.,Γιλλίων,PN,(von einem *γιλλός aus *γιδλός),,Private message,(from a *γιλλός out of *γιδλός) [UNKNOWN]
4,g̑eid-,lit.,žindù,sauge,,,suckling,
5,g̑eid-,lit.,žį́sti,sauge,,,suckling,
0,geig̑-,osset.,änɣezun,gären,uriran. *ham gaizaya-,,ferment,uriran. *ham gaizaya- [UNKNOWN]
1,geig̑-,westosset.,ɣizun,"kalt werden, frieren",,,"getting cold, freezing",
2,geig̑-,arm.,kc-anem,"stechen, beißen",Aor. 3. Sg. e-kic,,"sting, bite",Aor. 3rd person singular e-kic
3,geig̑-,arm.,kc-u,"bitter, ranzig",,,"bitter, rancid",
4,geig̑-,air.,gēr,"scharf, sauer",\*giĝ-ro-,,"spicy, sour","\*giĝ-ro-"" [UNKNOWN]"
5,geig̑-,lit.,gìžti,sauer werden,,,to get angry,
6,geig̑-,lit.,"gaižùs, gižùs","ranzig, bitter, mürrisch",,,"rancid, bitter, grumpy",
7,geig̑-,lit.,gaĩžti,bitter werden,,,to become bitter,
8,geig̑-,alb.,gjize,"Ziger, Käse","s. vielmehr Jokl Idg. Jahrb. 18, 152",,"Ziger, Cheese","s. rather Jokl Idg. Jahrb. 18, 152"
0,g̑eis-,mhd.,kis,Kies,,,Gravel,
1,g̑eis-,ags.,ciosol,Kies,m. n.,,Gravel,m. n.
2,g̑eis-,ags.,cisel,Kies,m. n.,,Gravel,m. n.
3,g̑eis-,ahd.,kisili,"Kiesel, Steinchen",,,"Pebbles, little stones",
4,g̑eis-,ahd.,kisel,"Kiesel, Steinchen",,,"Pebbles, little stones",
5,g̑eis-,ahd.,kisilinc,"Kiesel, Steinchen",,,"Pebbles, little stones",
6,g̑eis-,nnd.,keiserling,"Kiesel, Steinchen",,,"Pebbles, little stones",
7,g̑eis-,nnd.,keserling,"Kiesel, Steinchen",,,"Pebbles, little stones",
8,g̑eis-,nnd.,kiserling,"Kiesel, Steinchen",,,"Pebbles, little stones",
9,g̑eis-,apr.,sixdo,Sand,,,Sand,
10,g̑eis-,lit.,žiezdrà,"Kies, Korn",,,"Gravel, grain",
11,g̑eis-,lit.,žiẽzdros,"Kies, grober Sand",,,"Gravel, coarse sand",
12,g̑eis-,lit.,žiẽgzdros,"Kies, grober Sand",,,"Gravel, coarse sand",
13,g̑eis-,lit.,žiẽgzdrai,"Kies, grober Sand",m.,,"Gravel, coarse sand",m.
14,g̑eis-,phryg.,γίσσα,Stein,Fragwürdig die Zugehörigkeit des angeblich phryg. γίσσα 'Stein' bei Steph. Byz. s. v. Μονογισσα,Fragwürdig = ?,Stone,The alleged belonging of the supposedly Phrygian γίσσα 'stone' at Steph. Byz. s. v. Μονογισσα is questionable.
0,"geli-, glī-",ai.,girí-ḥ,Maus,Lex.,,Mouse,Lex. [UNKNOWN]
1,"geli-, glī-",ai.,girikā,Maus,Lex.,,Mouse,Lex. [UNKNOWN]
2,"geli-, glī-",gr.,γαλέη,"Wiesel, Marder",ursprüngl. 'die mausartige'?,"F = *g↓↓e↓↓lei̯-ā, ursprünglich 'die mausartige'?","Weasel, Marten",originally 'the mouse-like'?
3,"geli-, glī-",lat.,galea,Lederhelm; Haube auf dem Kopf afrikanischer Hühner',"ursprüngl. '*Haube aus Wieselfell', entlehnt von gr. γαλέη",,Leather helmet; cap on the head of African chickens.,"orig. '*Hood made of weasel fur', borrowed from gr. γαλέη"
4,"geli-, glī-",lat.,galērus,"Pelzkappe, Perücke'",entlehnt von einem unbelegten gr. *γαληρός,,"Fur cap, wig",borrowed from an unattested Greek *γαληρός
5,"geli-, glī-",gr.,γαλιάγκων,"Taubnessel', eigentlich 'Wieselauge'",γαλι- = ai. giri-,,"Deadnettle', actually 'weasel eye'",γαλι- = ai. giri- [UNKNOWN]
6,"geli-, glī-",gr.,γαληόψις,Taubnessel,,,Deadnettle,
7,"geli-, glī-",gr.,γαλεόβδολον,"Taubnessel', eigentlich 'Wieselauge'",,,"Deadnettle', actually 'weasel eye'",
8,"geli-, glī-",gr.,γάλιον,Taubnessel,,,Deadnettle,
9,"geli-, glī-",lat.,"glīs, glīris","Haselmaus, Bilchmaus, Siebenschläfer'","diese Flexion vermutlich nach mūs, mūris",,"Hazel dormouse, bank vole, fat dormouse","this inflection probably based on mūs, mūris"
,,,,,,,,
11,"geli-, glī-",rom.,*glēre,mouse,vgl. frz. loir neben liron,,Mouse,cf. French loir next to liron
12,"geli-, glī-",frz.,loir,mouse,,,Mouse,
13,"geli-, glī-",frz.,liron,mouse,,,Mouse,
0,"geng-, gong-",gr.,γόγγρος,Auswuchs am Stamm von Ölbäumen; Meeraal,"daraus lat. \gonger, \conger ds.",,Excretion on the trunk of olive trees; Moray eel,"from Latin \gonger, \conger etc."
1,"geng-, gong-",gr.,γογγρώνη,angeschwollene Halsdrüse,,,swollen gland in the throat,
2,"geng-, gong-",gr.,γόγγων,μωρός 'feist und dumm?',Hes.,,Stupid 'plump and dumb?',Hes. [UNKNOWN]
3,"geng-, gong-",gr.,γογγύλος,rund,"-ύλος Suffix wie in στρογγύλος, ἀγκύλος; vgl. auch lit. \gungulỹs 'Ball'",,round,"-ύλος suffix as in στρογγύλος, ἀγκύλος; compare also Lithuanian \gungulỹs 'ball'"
