,web_root,root,abbr,reflex,meaning,notes
5,leng-,leng-,lit.,lingė,Stange zum Aufhangen der Wiege,
6,leng-,leng-,lit.,liñgė,Feldweihe,
7,leng-,leng-,lit.,langóti,"schweben, sich hin und her bewegen",
8,leng-,leng-,lett.,lĩguôt,"schaukeln, singen",
9,leng-,leng-,lett.,lĩg(u)õ,Jubelruf bei den Johannisfeiern,Imper.
10,leng-,leng-,lett.,l̨uodzît,"schwanken, schaukeln",
11,leng-,leng-,lett.,Langa,Vertiefung,Bachname
12,leng-,leng-,apr.,Langodis,Vertiefung,Sumpfname
13,leng-,leng-,slav.,lęgъ,biegsam,
14,leng-,leng-,slovz.,lą̃go,biegsam,Adverb
15,leng-,leng-,slovz.,lągãc,"biegen, krümmen",
16,leng-,leng-,aksl.,lǫgъ,δρυμός,ablaut.
17,leng-,leng-,skr.,lûg,"Hain, Röhricht",
18,leng-,leng-,nsorb.,lug,grasiger Sumpf,
19,leng-,leng-,nsorb.,Łužyca,Lausitz,
20,leng-,leng-,russ.,ljagatьsja,"schaukeln, schwanken",vielleicht
0,lengh-,lengh-,gr.,ἐλέγχω,"beschimpfe, tadle, überführe",
1,lengh-,lengh-,gr.,ἔλεγχος n.,"Vorwurf, Schimpf, Schande",
2,lengh-,lengh-,hitt.,link-,schwören,unklar
3,lengh-,lengh-,mir.,lang,"Scham, Betrug, Verrat","unklar, ob hierher"
4,lengh-,lengh-,lett.,langāt,"schimpfen, mit Spitznamen belegen",
0,lep-1,1. lep-,ai.,lápati,"schwatzt, flüstert, wehklagt, redet",
1,lep-1,1. lep-,ai.,rápati,das selbe,
2,lep-1,1. lep-,pām.,lówam,"rede, spreche, sage",
3,lep-1,1. lep-,pām.,lewam,"rede, spreche, sage",
4,lep-1,1. lep-,np.,lāba,Schmeichelei,
5,lep-1,1. lep-,np.,lāwa,Schmeichelei,
6,lep-1,1. lep-,air.,līaig,(onomatopoeic root),zweisilbig
7,lep-1,1. lep-,air.,lego,(onomatopoeic root),Genitiv
8,lep-1,1. lep-,russ.,lepetátь,"stammeln, schwatzen, lallen",
9,lep-1,1. lep-,abg.,lopotivъ,"stammelnd, stotternd",
10,lep-1,1. lep-,russ.,lopotátь,"plätschern, lärmen, klatschen",
11,lep-1,1. lep-,skr.,lepètati,flattern,mit etwas anderer Bed.-Wendung
12,lep-1,1. lep-,gr.,λαπίζω,benehme mich übermütig,"Vielleicht auf ders. Schallvorstellung, aber mit a-Vokalismus, beruht"
13,lep-1,1. lep-,gr.,λαπιστής,"Aufschneider, Prahler",
14,lep-1,1. lep-,gr.,λαῖλαψ,Sturmwind,als 'heulend'
0,lep-3,3. lep-,gr.,λέπας,"kahler Fels, Stein",n. (nur N. Akk. Sg.)
1,lep-3,3. lep-,gr.,λεπαῖος,felsig,
2,lep-3,3. lep-,lat.,"lapis, -idis",Stein,
3,lep-3,3. lep-,umbr.,vapeře,Sitz,"Abl. Sg., (aus Stein?)"
4,lep-3,3. lep-,umbr.,vapersus,Sitz,Abl. Pl. (aus Stein?)
5,lep-3,3. lep-,lat.,a,"rock, stone",wird als Red.-Vokal e aufgefaßt
6,lep-3,3. lep-,gr.,lep-,abspalten,als 'abgespaltenes Steinstück' (saxum : secō) ist denkbar
7,lep-3,3. lep-,ital.,lep-,"rock, stone",eine weitere Möglichkeit wäre Entlehnung des gr. und ital. Wortes aus einer nichtidg. Mittelmeersprache
0,lerd-,lerd-,arm.,lorc̣-k',convulsio partium in posteriora,
1,lerd-,lerd-,gr.,λορδός,mit dem Oberkörper nach vorwärts gekrümmt,
2,lerd-,lerd-,gr.,λορδοῦν,nach vorwärts gebogen sein,
3,lerd-,lerd-,gr.,-οῦσθαι,nach vorwärts gebogen sein,
4,lerd-,lerd-,gäl.,lorcach,lahm am Fuß,
5,lerd-,lerd-,gäl.,lurcach,lahm am Fuß,
6,lerd-,lerd-,gäl.,lurc,lahmer Fuß,
7,lerd-,lerd-,ags.,be-lyrtan,betrügen,
8,lerd-,lerd-,mhd.,lürzen,ds.,
9,lerd-,lerd-,dän.,lyrte,scherzen,
10,lerd-,lerd-,mhd.,lerzen,stammeln,
11,lerd-,lerd-,mhd.,lurz,link,krumm
12,lerd-,lerd-,mhd.,lerz,link,krumm
13,lerd-,lerd-,ags.,lort,krumm?,
14,lerd-,lerd-,PN,Lorting,nhd. Lortzing.,
0,lerg-,lerg-,arm.,ołork,"eben, glatt, poliert, schlüpfrig",o- wohl die Präp. *po-
1,lerg-,lerg-,arm.,lerk,"glatt, unbehaart",
2,lerg-,lerg-,mir.,lergg,"Abhaug, Weg, Ebene",
3,lerg-,lerg-,mir.,less-lergg,Weide,
4,lerg-,lerg-,cymr.,llyry,"Pfad, Spur",
5,lerg-,lerg-,bret.,lerc'h,Spur,ablaut.
6,lerg-,lerg-,corn.,lergh,"even, smooth, slippery",ablaut.
7,lerg-,lerg-,air.,lorc,"Spur, Schar, Nachkommenschaft",ablaut.
8,lerg-,lerg-,mir.,lorgg,"Spur, Schar, Nachkommenschaft",ablaut.
9,lerg-,lerg-,cymr.,llwry,Spur,ablaut.
10,lerg-,lerg-,cymr.,llwrw,Spur,ablaut.
11,lerg-,lerg-,nhd.,Lurch,"even, smooth, slippery",
12,lerg-,lerg-,ndd.,lork,"even, smooth, slippery",
0,lēs: ləs-,lēs : ləs-,got.,lasiws,schwach,*las-īu̯os
1,lēs: ləs-,lēs : ləs-,mhd.,er-leswen,schwach werden,
2,lēs: ləs-,lēs : ləs-,aisl.,lasinn,"schwach, zerstört",
3,lēs: ləs-,lēs : ləs-,aisl.,las-meyrr,"schwach, elend",
4,lēs: ləs-,lēs : ləs-,mnd.,lasich,"schlaff, matt",equals lasch
5,lēs: ləs-,lēs : ləs-,mnd.,las,"schlaff, matt",
6,lēs: ləs-,lēs : ləs-,isl.,laraðr,müde,
7,lēs: ləs-,lēs : ləs-,slav.,*lošь,"in bulg. loš 'schlecht, übel, schlimm, häßlich'",
8,lēs: ləs-,lēs : ləs-,skr.,lȍš,"unglücklich, schlecht","and similar; very doubtful is the citation of lat. sublestus 'schwach, gering'"
9,lēs: ləs-,lēs : ləs-,mnd.,las,schlaff niederhängender Fetzen,maybe mnd. las 'keilförmiger Lappen'
10,lēs: ləs-,lēs : ləs-,dän.,las,Lumpen,norw. lase
11,lēs: ləs-,lēs : ləs-,norw.,lase,Lumpen,
12,lēs: ləs-,lēs : ləs-,mnd.,lasche,"Lappen, Fetzen","mhd. lasche m. 'Lappen, Fetzen'"
13,lēs: ləs-,lēs : ləs-,mhd.,lasche,"Lappen, Fetzen",
14,lēs: ləs-,lēs : ləs-,lit.,lãskana,"Lumpen, Lappen",
15,lēs: ləs-,lēs : ləs-,russ.,lóskut,"Stück, Lappen",
16,lēs: ləs-,lēs : ləs-,toch. A,ljäṣk-,Weiche,
0,"leto-, lēti-, lēto-, lōto-","leto-, lēti-, lēto-, lōto-",mcymr.,aelet,Schmerz,*ad-let-*
1,"leto-, lēti-, lēto-, lōto-","leto-, lēti-, lēto-, lōto-",mcymr.,llet-gynt,das selbe,
2,"leto-, lēti-, lēto-, lōto-","leto-, lēti-, lēto-, lōto-",mcymr.,llit,Zorn,dehnstufig
3,"leto-, lēti-, lēto-, lōto-","leto-, lēti-, lēto-, lōto-",mcymr.,tra-llit,Zorn,
4,"leto-, lēti-, lēto-, lōto-","leto-, lēti-, lēto-, lōto-",ncymr.,llid,das selbe,maskulinum
5,"leto-, lēti-, lēto-, lōto-","leto-, lēti-, lēto-, lōto-",ncymr.,llawd,Brunst,mit Abtönung
6,"leto-, lēti-, lēto-, lōto-","leto-, lēti-, lēto-, lōto-",mir.,láth,das selbe,maskulinum
7,"leto-, lēti-, lēto-, lōto-","leto-, lēti-, lēto-, lōto-",mcymr.,aelawt,"Lärm, Schmerz",
8,"leto-, lēti-, lēto-, lōto-","leto-, lēti-, lēto-, lōto-",air.,álad,Wunde,*ad-lōto-*
9,"leto-, lēti-, lēto-, lōto-","leto-, lēti-, lēto-, lōto-",cymr.,tra-llod,"Lärm, Schmerz",
10,"leto-, lēti-, lēto-, lōto-","leto-, lēti-, lēto-, lōto-",klr.,ĺit́,Brunst,femininum
11,"leto-, lēti-, lēto-, lōto-","leto-, lēti-, lēto-, lōto-",klr.,ĺityty,befruchten,
0,lēu-1,1. lēu-,got.,lēw,Gelegenheit,
1,lēu-1,1. lēu-,got.,lēwjan,"preisgeben, verraten",'*überlassen'
2,lēu-1,1. lēu-,ags.,lǣwan,ds.,
3,lēu-1,1. lēu-,ahd.,"gi-, fir-lāen",verraten,
4,lēu-1,1. lēu-,lit.,"liáujuos, lióviaus, liáutis",aufhören,
5,lēu-1,1. lēu-,lett.,"ĺaũju, ĺãwu, ĺaũt","zulassen, erlauben",
6,lēu-1,1. lēu-,lett.,ĺautës,sich hingeben,
7,lēu-1,1. lēu-,apr.,aulaūt,sterben,
8,lēu-1,1. lēu-,lit.,lavónas,Leiche,ablaut.
9,lēu-1,1. lēu-,lit.,liánas,"lose, biegsam, böse",wahrscheinlich als 'zügellos'
10,lēu-1,1. lēu-,lett.,ĺauns,böse,
11,lēu-1,1. lēu-,klr.,l'ivýty,"nachlassen, nachgeben",
12,lēu-1,1. lēu-,klr.,l'ivkýj,"locker, lose",
13,lēu-1,1. lēu-,čech.,leviti,"lindern, mäßigen",
14,lēu-1,1. lēu-,čech.,levný,wohlfeil,
15,lēu-1,1. lēu-,russ.,luná,Tod,dial.
16,lēu-1,1. lēu-,russ.,lúnut,"losschießen, loslassen",dial.
17,lēu-1,1. lēu-,aksl.,vъlovьnъ,ἤρεμος,ablaut.
18,lēu-1,1. lēu-,čech.,povlovný,sachte,ablaut.
0,leu-g-2 : lu-g- : lū-g-,2. leu-g- : lu-g- : lū-g-,gr.,λῡγαῖος,"dunkel, finster",
1,leu-g-2 : lu-g- : lū-g-,2. leu-g- : lu-g- : lū-g-,gr.,ἠλύ̆γη,dunkel,"mit Präf. ἠ-, vgl. ai. ā-nīla- 'schwärzlich'"
2,leu-g-2 : lu-g- : lū-g-,2. leu-g- : lu-g- : lū-g-,gr.,ἐπῆλυξ,(wobei Dunkel ist =) schattengebend,
3,leu-g-2 : lu-g- : lū-g-,2. leu-g- : lu-g- : lū-g-,gr.,"ἐπηλυγάζομαι, -ίζομαι","überschatte, bedecke",
4,leu-g-2 : lu-g- : lū-g-,2. leu-g- : lu-g- : lū-g-,illyr.,lugas,Sumpf,m. oder
5,leu-g-2 : lu-g- : lū-g-,2. leu-g- : lu-g- : lū-g-,illyr.,luga,Sumpf,f.
6,leu-g-2 : lu-g- : lū-g-,2. leu-g- : lu-g- : lū-g-,alb.,lëgatë,"Lache, Pfütze, Sumpf",wovon mit dem lat. Formans -ātum abgeleitet
7,leu-g-2 : lu-g- : lū-g-,2. leu-g- : lu-g- : lū-g-,lit.,liũgas,Morast,
8,leu-g-2 : lu-g- : lū-g-,2. leu-g- : lu-g- : lū-g-,lit.,lũgas,Morast,
9,leu-g-2 : lu-g- : lū-g-,2. leu-g- : lu-g- : lū-g-,lett.,Ludze,blackish; swamp,FlN (\*lugi̯ā)
10,leu-g-2 : lu-g- : lū-g-,2. leu-g- : lu-g- : lū-g-,idg.,lougi̯ā,blackish; swamp,"in: russ.-ksl. luža 'Sumpf, Pfütze', usw."
11,leu-g-2 : lu-g- : lū-g-,2. leu-g- : lu-g- : lū-g-,gall.,λοῦγος,Rabe,"vielleicht hierher im ON Lugu-dūnon 'Lyon', usw."
0,leugh-2. lugh-,"2. leugh-, lugh-",air.,lu(i)ge,"Eid, Schwur",*lughi̯om
1,leugh-2. lugh-,"2. leugh-, lugh-",cymr.,llw,"Eid, Schwur",*lughi̯om
2,leugh-2. lugh-,"2. leugh-, lugh-",bret.,le,"Eid, Schwur",*lughi̯om
3,leugh-2. lugh-,"2. leugh-, lugh-",got.,"liugan, -aida",heiraten,(*Eid)
4,leugh-2. lugh-,"2. leugh-, lugh-",got.,liuga,Ehe,(*Eid)
5,leugh-2. lugh-,"2. leugh-, lugh-",ahd.,urliugi,Krieg,"*uz-liugja, '*vertragsloser Zustand'"
6,leugh-2. lugh-,"2. leugh-, lugh-",mnd.,"orloge, orloch",Schwur,"schwundstufig, ds. (davon hat auch mhd. urlage 'Schicksal' usw. z. T. die Bedeutung 'Krieg' bezogen, s. unter _legh-_ 'liegen')"
7,leugh-2. lugh-,"2. leugh-, lugh-",as.,"orlag, -logi",Schwur,"ds. (davon hat auch mhd. urlage 'Schicksal' usw. z. T. die Bedeutung 'Krieg' bezogen, s. unter _legh-_ 'liegen')"
8,leugh-2. lugh-,"2. leugh-, lugh-",afries.,orloch,Schwur,"ds. (davon hat auch mhd. urlage 'Schicksal' usw. z. T. die Bedeutung 'Krieg' bezogen, s. unter _legh-_ 'liegen')"
9,leugh-2. lugh-,"2. leugh-, lugh-",afries.,logia,heiraten,
0,lēut- : lūt-,lēut- : lūt-,cymr.,llid,"ira, iracundia",(*lūto-?)
1,lēut- : lūt-,lēut- : lūt-,abg.,lutъ,"gewalttätig, grausam, schrecklich",
2,lēut- : lūt-,lēut- : lūt-,abg.,ĺute,"wehe! δεινῶς, valde",Adv.
3,lēut- : lūt-,lēut- : lūt-,skr.-ksl.,ĺutiti sę,saevire,usw.
4,lēut- : lūt-,lēut- : lūt-,cymr.,llid,"angry, raging, wrathful",anders über cymr. llid oben S. 680
0,loĝ-,log̑-,gr.,ὀ-λόγινον,"rod, twig",Hesychius
1,loĝ-,log̑-,gr.,"ὀζῶδες, συμπεφυκός","rod, twig",Hesychius
2,loĝ-,log̑-,gr.,κατά-λογον,τ(ὴν) μύρτον,"wohl wie 'densis hastilibus horrida myrtus' Verg. Aen. III 23, Bildung gleich κατά-κομος; nach Schulze Qu. ep. 496 zu"
3,loĝ-,log̑-,aksl.,loza,Weinrebe; Schößling bes. vom Weinstock,
4,loĝ-,log̑-,russ.,loza,"Rute, Gerte; Reis, Stamm, Weide","usw., s. Berneker 736"
0,"lorgā-, lorgi-","lorgā-, lorgi-",air.,lorc,"Keule, Knüttel, Penis",
1,"lorgā-, lorgi-","lorgā-, lorgi-",air.,lorgg,"Keule, Knüttel, Penis",
2,"lorgā-, lorgi-","lorgā-, lorgi-",mir.,lurga,Schienbein,
3,"lorgā-, lorgi-","lorgā-, lorgi-",mir.,lurgan,,Gen.
4,"lorgā-, lorgi-","lorgā-, lorgi-",mcymr.,llory,Keule,
5,"lorgā-, lorgi-","lorgā-, lorgi-",mcymr.,llorf,Fuß der Harfe,
6,"lorgā-, lorgi-","lorgā-, lorgi-",acorn.,lorch,Stab,
7,"lorgā-, lorgi-","lorgā-, lorgi-",bret.,lorc'henn,Deichsel,
8,"lorgā-, lorgi-","lorgā-, lorgi-",aisl.,lurkr,Knüttel,
9,"lorgā-, lorgi-","lorgā-, lorgi-",dän.,lyrk,das selbe,\*lurki-\
10,"lorgā-, lorgi-","lorgā-, lorgi-",schwed.,lurk,Tölpel,
11,"lorgā-, lorgi-","lorgā-, lorgi-",nhd.,lorg,mythischer Riese,tirol.
12,"lorgā-, lorgi-","lorgā-, lorgi-",nhd.,lork,mythischer Riese,tirol.
13,"lorgā-, lorgi-","lorgā-, lorgi-",aisl.,lerka,"zusammenschnüren, quälen",
14,"lorgā-, lorgi-","lorgā-, lorgi-",ags.,lorg,"Stange, Spindel",kelt. Lw.
0,mā-1,1. mā-,ai.,māyā,"Verwandlung, Truggestalt, Betrug, Illusion",oder zu 3. mē-?
1,mā-1,1. mā-,gr.,"μηνύω, dor. μᾱνύω","zeige an, verrate",aus *μά̄-νῡ-μι 'winke mit der Hand'
2,mā-1,1. mā-,gr.,μαίομαι,"berühre, untersuche","s-Erweiterung, Fut. μάσσομαι, ἐπι-μαστος 'berührt' = 'befleckt', μαστήρ, μαστρός 'Sucher, Nachforscher', μαστροπός 'Kuppler', μάστις, μάστιξ 'Peitsche, Geißel'"
3,mā-1,1. mā-,gr.,μάτη,Verfehlung,"t-Erweiterung, *mə-tā, μάτην, dor. -ᾱν 'vergeblich', μάταιος 'eitel, nichtig'"
4,mā-1,1. mā-,lit.,"móju, móti","mit der Hand winken, ein Zeichen geben",
5,mā-1,1. mā-,lett.,"mãju, mãt","mit der Hand winken, ein Zeichen geben",ds.
6,mā-1,1. mā-,lett.,mâdît,mit der Hand winken,
7,mā-1,1. mā-,lett.,mâditiês,Gaukelei treiben,
8,mā-1,1. mā-,lett.,mâdži,Gaukelbilder,
9,mā-1,1. mā-,lit.,mãsinti,locken,s-Erweiterung
10,mā-1,1. mā-,lit.,mosúoti,"schwenken, schwingen",s-Erweiterung
11,mā-1,1. mā-,lit.,mostagúoti,"schwenken, schwingen",s-Erweiterung
12,mā-1,1. mā-,lit.,"mósterėti, móstelėti",winken,s-Erweiterung
13,mā-1,1. mā-,slav.,"*majǫ, *majati",zuwinken,an Stelle von *mati nach dem balt.-slav. Präteritalstamm *māi̯ā
14,mā-1,1. mā-,abg.,"na-majǫ, -majati",zuwinken,
15,mā-1,1. mā-,abg.,"po-mavati, -manǫti",zuwinken,
16,mā-1,1. mā-,russ.,na-májatь,"durch Zeichen anzeigen, betrügen",
17,mā-1,1. mā-,serb.,"mâmīm, mámiti",locken,mit Formans -mo-
18,mā-1,1. mā-,russ.,"mańú, mańíть","anlocken, täuschen","mit Formans -no- (aus dem Slav. stammen lit. mõnai Pl. 'Zauberei', lett. mãnít 'betrügen')"
19,mā-1,1. mā-,russ.-ksl.,mara,Gemütsbewegung,"mit Formans -rā-, poln. mara 'Täuschung', usw."
20,mā-1,1. mā-,ksl.,"machaju, machati",ventilare,"s-Erweiterung, usw."
21,mā-1,1. mā-,aserb.,"matam, matati",anlocken,t-Erweiterung
22,mā-1,1. mā-,čech.,má\tati,als Gespenst spuken,"t-Erweiterung, usw."
0,mā̆k(en)-,mā̆k(en)-,gr.,μήκων,Mohn,
1,mā̆k(en)-,mā̆k(en)-,dor.,μά̄κων,Mohn,
2,mā̆k(en)-,mā̆k(en)-,ahd.,māho,Mohn,
3,mā̆k(en)-,mā̆k(en)-,as.,māho,Mohn,
4,mā̆k(en)-,mā̆k(en)-,mhd.,māhen,Mohn,
5,mā̆k(en)-,mā̆k(en)-,mhd.,mān,Mohn,
6,mā̆k(en)-,mā̆k(en)-,ahd.,măgo,Mohn,mit gramm. Wechsel
7,mā̆k(en)-,mā̆k(en)-,mhd.,mage,Mohn,mit gramm. Wechsel
8,mā̆k(en)-,mā̆k(en)-,nhd.,magen,Mohn,Bavarian
9,mā̆k(en)-,mā̆k(en)-,bair.,magen,Mohn,
10,mā̆k(en)-,mā̆k(en)-,ndd.,mån,Mohn,
11,mā̆k(en)-,mā̆k(en)-,ndl.,maan-kop,Mohn,
12,mā̆k(en)-,mā̆k(en)-,aschwed.,val-mughi,Mohn,im ersten Gliede *walχa- 'Betäubung'
13,mā̆k(en)-,mā̆k(en)-,aschwed.,-moghi,Mohn,im ersten Gliede *walχa- 'Betäubung'
14,mā̆k(en)-,mā̆k(en)-,mlat.,mahonus,Mohn,
15,mā̆k(en)-,mā̆k(en)-,lit.,magônė,Mohn,stammt aus dem Germ.
16,mā̆k(en)-,mā̆k(en)-,lit.,aguonà,Mohn,"dunkles, stammt aus dem Germ."
17,mā̆k(en)-,mā̆k(en)-,apr.,moke,Mohn,aus dem Poln.
18,mā̆k(en)-,mā̆k(en)-,ksl.,makъ,Mohn,und so weiter
0,mak̂o-oder mok̂-o-,"mak̑o-, or mok̑-o-",ai.,maśáka-,"Stechfliege, Mücke",
1,mak̂o-oder mok̂-o-,"mak̑o-, or mok̑-o-",lit.,mašalas,Mücke,
2,mak̂o-oder mok̂-o-,"mak̑o-, or mok̑-o-",lett.,masalas,Roßfliege,
3,mak̂o-oder mok̂-o-,"mak̑o-, or mok̑-o-",russ.,mosólitь,"plagen, zudringlich anbetteln",vom Bilde des zudringlichen Mückenschwarms
4,mak̂o-oder mok̂-o-,"mak̑o-, or mok̑-o-",osorb.,"mosćić so, mosćeć so",wimmeln (wie ein Mückenschwarm),sowie wohl auch
5,mak̂o-oder mok̂-o-,"mak̑o-, or mok̑-o-",lit.,"mašóju, -ti",ein Kind zeugen,
6,mak̂o-oder mok̂-o-,"mak̑o-, or mok̑-o-",ai.,mákṣa-,Fliege,"vgl. mit Velar die arische Sippe von ai. mákṣa- m., makṣā f. 'Fliege'"
7,mak̂o-oder mok̂-o-,"mak̑o-, or mok̑-o-",ai.,makṣā,Fliege,"vgl. mit Velar die arische Sippe von ai. mákṣa- m., makṣā f. 'Fliege'"
8,mak̂o-oder mok̂-o-,"mak̑o-, or mok̑-o-",av.,maxši-,"Fliege, Mücke","usw., und lit. mãkatas 'Kriebelmücke'"
9,mak̂o-oder mok̂-o-,"mak̑o-, or mok̑-o-",lit.,mãkatas,Kriebelmücke,
0,"makh-o-s, -(s)lo-",makh-o-s,ai.,makhá-,"munter, lustig, ausgelassen","m. 'Freudenbezeigung, Feier'"
1,"makh-o-s, -(s)lo-",makh-o-s,gr.,μάχλος,geil; uppig (von Weibern); in wilder Lust tobend,
0,mand-,mand-,ai.,mandurā́,Pferdestall,
1,mand-,mand-,ai.,mandirám,"Haus, Gemach",
2,mand-,mand-,gr.,μάνδρα,"Pferch, Stall, Hürde",(illyr.?)
3,mand-,mand-,gr.,μάνδαλος,Riegel,
4,mand-,mand-,thrak.,μανδάκης,Garbenband,
5,mand-,mand-,illyr.,Mandurium,pen/hurdle of plaited rods/twigs,(Calabrien)
6,mand-,mand-,illyr.,Manduria,pen/hurdle of plaited rods/twigs,(Calabrien)
7,mand-,mand-,notes,,,"falls Grundbedeutung 'Pferdestall, Pferdezaum', vielleicht zu mendo- 'Tierjunges', S. 729 (_mend-_)"
0,mau-ro-,mau-ro-,gr.,(ἀ)μαυρός,schwach; nebelhaft; blind,
1,mau-ro-,mau-ro-,gr.,(ἀ)μαυρόω,"entkräfte, schwäche, verdunkle",
2,mau-ro-,mau-ro-,anord.,meyrr,mürbe,
3,mau-ro-,mau-ro-,russ.,(s)muryj,dunkelgrau,
4,mau-ro-,mau-ro-,russ.,chmúra,dunkle Wolke,
5,mau-ro-,mau-ro-,čech.,chmouřiti,"sich trüben, sauer sehen",u. dgl.
6,mau-ro-,mau-ro-,čech.,šmouřiti se,"sich trüben, sauer sehen",u. dgl.
7,mau-ro-,mau-ro-,gr.,ἀμυδρός,"dunkel, schwer zu erkennen, schwach",vielleicht dazu
8,mau-ro-,mau-ro-,gr.,ἀμυδρόω,"verdunkle, schwäche",vielleicht dazu
9,mau-ro-,mau-ro-,gr.,ἀμυδρότης,"Undeutlichkeit, Schwäche",vielleicht dazu
10,mau-ro-,mau-ro-,aksl.,iz-mъděti,schwach werden,vielleicht dazu
11,mau-ro-,mau-ro-,aksl.,u-mъdnǫti,schwach werden,vielleicht dazu
0,"mei-6, mei̯u-, min(u)-, mim(ei)-","6. mei-, mei̯u-, min(u)-, mim(ei)-",ai.,mimāti,"blökt, brüllt, schreit",
1,"mei-6, mei̯u-, min(u)-, mim(ei)-","6. mei-, mei̯u-, min(u)-, mim(ei)-",ai.,mimāyat,"brüllte, blökte",
2,"mei-6, mei̯u-, min(u)-, mim(ei)-","6. mei-, mei̯u-, min(u)-, mim(ei)-",ai.,ámīmēt,"brüllte, blökte",
3,"mei-6, mei̯u-, min(u)-, mim(ei)-","6. mei-, mei̯u-, min(u)-, mim(ei)-",ai.,māyú-,"das Blöken, Brüllen",m.
4,"mei-6, mei̯u-, min(u)-, mim(ei)-","6. mei-, mei̯u-, min(u)-, mim(ei)-",ai.,maya-,Roß,"vermutlich m., '*wiehernd'"
5,"mei-6, mei̯u-, min(u)-, mim(ei)-","6. mei-, mei̯u-, min(u)-, mim(ei)-",ai.,mayū́ra,Pfau,"m., '*schreiend'"
6,"mei-6, mei̯u-, min(u)-, mim(ei)-","6. mei-, mei̯u-, min(u)-, mim(ei)-",ai.,miṇ-miṇa-,undeutlich durch die Nase sprechend,
7,"mei-6, mei̯u-, min(u)-, mim(ei)-","6. mei-, mei̯u-, min(u)-, mim(ei)-",gr.,μιμίζω,wiehere,
8,"mei-6, mei̯u-, min(u)-, mim(ei)-","6. mei-, mei̯u-, min(u)-, mim(ei)-",gr.,μιμιχμός,das Wiehern,
9,"mei-6, mei̯u-, min(u)-, mim(ei)-","6. mei-, mei̯u-, min(u)-, mim(ei)-",gr.,μιμάξασα · χρεμετίσασα · φωνήσασα,(onomatopoeic: high thin sound),Hes.
10,"mei-6, mei̯u-, min(u)-, mim(ei)-","6. mei-, mei̯u-, min(u)-, mim(ei)-",gr.,μινυρός,wimmernd,
11,"mei-6, mei̯u-, min(u)-, mim(ei)-","6. mei-, mei̯u-, min(u)-, mim(ei)-",gr.,"μινύ̄ρομαι, μινυρίζω",winsle,
12,"mei-6, mei̯u-, min(u)-, mim(ei)-","6. mei-, mei̯u-, min(u)-, mim(ei)-",lat.,minur(r)iō,"zwitschere, girre",aus gr. Lw.?
13,"mei-6, mei̯u-, min(u)-, mim(ei)-","6. mei-, mei̯u-, min(u)-, mim(ei)-",lat.,"mintriō, -īre","pfeifen, piepen, von der Maus",umgebildet
14,"mei-6, mei̯u-, min(u)-, mim(ei)-","6. mei-, mei̯u-, min(u)-, mim(ei)-",abg.,m\ъmati,stammeln,
15,"mei-6, mei̯u-, min(u)-, mim(ei)-","6. mei-, mei̯u-, min(u)-, mim(ei)-",abg.,mьmati,stammeln,
0,"meigh-, auch meik-","meigh-, also meik-",mnd.,micken,beobachten (*hinblinzeln),
1,"meigh-, auch meik-","meigh-, also meik-",awfries.,mitza,beachten,
2,"meigh-, auch meik-","meigh-, also meik-",lit.,"mingù, mìgti",einschlafen,(mit už-)
3,"meigh-, auch meik-","meigh-, also meik-",lett.,"mìegu, migt",das Selbe,"(mit àiz-, ìe-)"
4,"meigh-, auch meik-","meigh-, also meik-",apr.,enmigguns,eingeschlafen,
5,"meigh-, auch meik-","meigh-, also meik-",apr.,ismigē,entschlief,
6,"meigh-, auch meik-","meigh-, also meik-",lett.,miêgt,die Augen schließen,
7,"meigh-, auch meik-","meigh-, also meik-",apr.,maiggun,"to flicker, twinkle; mist",Akk.
8,"meigh-, auch meik-","meigh-, also meik-",lit.,miẽgas,Schlaf,
9,"meigh-, auch meik-","meigh-, also meik-",lett.,mìegs,Schlaf,
10,"meigh-, auch meik-","meigh-, also meik-",lit.,"miegù, miegóti",schlafen,(alt miegmi)
11,"meigh-, auch meik-","meigh-, also meik-",apr.,meicte,schlafen,
12,"meigh-, auch meik-","meigh-, also meik-",slav.,*migъ,"to flicker, twinkle; mist",in bulg. russ. mig 'Augenblick'
13,"meigh-, auch meik-","meigh-, also meik-",slav.,*mьgnǫti,"to flicker, twinkle; mist","in russ.-ksl. megnuti 'nictare', serb. namàgnuti 'winken', und mȉgati 'blinzeln'"
14,"meigh-, auch meik-","meigh-, also meik-",aksl.,sъ-meziti,Augen schließen,Iterat.-Kaus.
15,"meigh-, auch meik-","meigh-, also meik-",slav.,*mьžati,"to flicker, twinkle; mist","sloven. mɛžáti 'Augen geschlossen halten', russ. mžat 'schlummern'"
16,"meigh-, auch meik-","meigh-, also meik-",serb.-ksl.,miglivъ,blinzelnd,
17,"meigh-, auch meik-","meigh-, also meik-",ai.,mēghá-,Wolke,
18,"meigh-, auch meik-","meigh-, also meik-",ai.,míh,"Nebel, wässeriger Niederschlag",
19,"meigh-, auch meik-","meigh-, also meik-",av.,maēɣa-,Wolke,
20,"meigh-, auch meik-","meigh-, also meik-",arm.,mēg,Nebel,
21,"meigh-, auch meik-","meigh-, also meik-",gr.,"ὀμίχλη, ἀμιχθαλόεσσαν","Wolke, Nebel","(att. ὁμίχλη) 'Wolke, Nebel', hom. 'nebelig, Beiwort von Lemnos' (mit Vokalvorschlag)"
